text,meaning,example
include,"dahil etmek","The price includes breakfast."
increase,"artmak; artırmak","Sales have increased by 10% this year."
indicate,"göstermek; belirtmek","The map indicates that we are here."
individual,"birey; bireysel","Every individual has the right to speak."
industry,"endüstri; sanayi","The car industry is changing rapidly."
influence,"etki; etkilemek","Her teachers had a strong influence on her."
inform,"bilgilendirmek","Please inform us of any changes."
information,"bilgi","For more information, visit our website."
injury,"yaralanma","He suffered a serious leg injury."
insist,"ısrar etmek","She insisted on paying for dinner."
intend,"niyet etmek; amaçlamak","I didn't intend to hurt your feelings."
interest,"ilgi; faiz","He has no interest in sports."
introduce,"tanıtmak; tanıştırmak","Let me introduce you to my colleague."
invest,"yatırım yapmak","He decided to invest in the stock market."
investigate,"araştırmak; soruşturmak","Police are investigating the crime."
involve,"içermek; kapsamak","The job involves a lot of travel."
issue,"sorun; mesele; sayı (dergi)","We need to resolve this issue immediately."
item,"eşya; madde","Please check every item on the list."
join,"katılmak","Would you like to join us for lunch?"
judge,"yargıç; yargılamak","Don't judge a book by its cover."
jump,"zıplamak","The cat jumped onto the table."
keep,"tutmak; saklamak; devam etmek","Keep trying until you succeed."
kill,"öldürmek","Smoking can kill you."
know,"bilmek","Do you know the answer?"
knowledge,"bilgi (birikim)","Knowledge is power."
lack,"eksiklik; yoksun olmak","The team failed due to a lack of preparation."
land,"arazi; kara; inmek (uçak)","The plane will land in ten minutes."
laugh,"gülmek","His jokes always make me laugh."
law,"yasa; hukuk","Everyone must obey the law."
lead,"liderlik etmek; yol göstermek","Hard work will lead to success."
learn,"öğrenmek","Children learn very quickly."
leave,"ayrılmak; bırakmak","I have to leave the office early today."
legal,"yasal; hukuki","Is it legal to park here?"
level,"seviye; düzey","The water level is rising."
lie,"yalan söylemek; uzanmak","Don't lie to me."
life,"hayat; yaşam","Life is full of surprises."
lift,"kaldırmak; asansör","This box is too heavy to lift."
light,"ışık; hafif","This bag is very light."
limit,"sınır; kısıtlamak","There is a speed limit on this road."
list,"liste; listelemek","Make a list of things you need to buy."
listen,"dinlemek","Listen carefully to the instructions."
live,"yaşamak; canlı","Where do you live?"
local,"yerel","We should support local businesses."
lose,"kaybetmek","I don't want to lose my keys again."
maintain,"sürdürmek; bakım yapmak","It is hard to maintain a healthy lifestyle."
major,"ana; büyük","Pollution is a major problem in cities."
manage,"yönetmek; başarmak","How do you manage your time?"
mark,"işaretlemek; iz; not","Mark the correct answer on the paper."
market,"pazar; piyasa","The housing market is very expensive."
matter,"mesele; önemli olmak","It doesn't matter what they think."
mean,"anlamına gelmek; kastetmek","What does this word mean?"
measure,"ölçmek; önlem","We need to measure the room before buying furniture."
meet,"buluşmak; tanışmak","Let's meet at the cafe."
mention,"bahsetmek","Did he mention my name?"
method,"yöntem","This is a very effective method."
mind,"zihin; önemsemek","Do you mind if I open the window?"
miss,"özlemek; kaçırmak","I will miss you when you leave."
move,"hareket etmek; taşınmak","We are planning to move to a new house."
nation,"ulus; millet","The whole nation celebrated the victory."
nature,"doğa","She loves spending time in nature."
necessary,"gerekli","Is it necessary to book in advance?"
need,"ihtiyaç duymak","I need some help with this."
note,"not; not etmek","Please note the change in the schedule."
notice,"fark etmek; duyuru","I didn't notice him standing there."
observe,"gözlemlemek","Scientists observe the behavior of animals."
occur,"meydana gelmek","The accident occurred late at night."
offer,"teklif etmek; sunmak","He offered to help me with my luggage."
open,"açmak; açık","Can you please open the door?"
opinion,"fikir; görüş","What is your opinion on this matter?"
opportunity,"fırsat","This is a great opportunity for you."
option,"seçenek","We have several options to choose from."
order,"sipariş vermek; emretmek; düzen","I would like to order a pizza."
organize,"organize etmek; düzenlemek","She helped organize the party."
own,"sahip olmak; kendi","Do you own a car?"
pain,"ağrı; acı","I have a sharp pain in my back."
part,"parça; kısım","This is the most difficult part of the job."
participate,"katılmak","Students are encouraged to participate in class."
particular,"belirli; özel","Is there a particular color you are looking for?"
pass,"geçmek; pas vermek","Did you pass the exam?"
pay,"ödemek","You can pay by credit card."
perform,"sergilemek; yapmak (performans)","The band will perform live tonight."
perhaps,"belki","Perhaps we should wait a little longer."
period,"dönem; süre","The offer is valid for a limited period."
permit,"izin vermek","Parking is not permitted here."
personal,"kişisel","Please keep your personal belongings with you."
pick,"seçmek; toplamak","Pick a card from the deck."
place,"yer; yerleştirmek","This is my favorite place in the city."
plan,"planlamak; plan","We need a plan to finish on time."
play,"oynamak; çalmak (enstrüman)","Do you know how to play the guitar?"
point,"nokta; işaret etmek; puan","He pointed at the map."
policy,"politika; kural","The company has a strict privacy policy."
popular,"popüler","Football is the most popular sport here."
position,"pozisyon; konum","He applied for a management position."
positive,"olumlu; pozitif","Try to keep a positive attitude."
possible,"mümkün","Is it possible to finish this by tomorrow?"
power,"güç","Knowledge is power."
practice,"pratik yapmak; uygulama","You need to practice speaking English every day."
prepare,"hazırlamak","I need time to prepare for the meeting."
present,"sunmak; mevcut; hediye","She will present her findings to the team."
press,"basmak; basın","Press the red button in an emergency."
prevent,"önlemek; engel olmak","Regular exercise can prevent heart disease."
price,"fiyat","The price of the car is too high."
private,"özel; kişisel","This is a private conversation."
probably,"muhtemelen","I will probably be late for dinner."
problem,"sorun; problem","We need to find a solution to this problem."
process,"süreç; işlemek","Learning a language is a long process."
produce,"üretmek","Brazil produces a lot of coffee."
product,"ürün","This is our best-selling product."
production,"üretim","Industrial production has increased this year."
professional,"profesyonel","You should seek professional legal advice."
program,"program","I watch this television program every week."
project,"proje","The construction project will take two years."
promise,"söz vermek; söz","I promise I won't tell anyone your secret."
promote,"terfi ettirmek; tanıtmak","They decided to promote him to manager."
protect,"korumak","Sunscreen helps protect your skin."
prove,"kanıtlamak","You have to prove that you are innocent."
provide,"sağlamak; temin etmek","The hotel provides free Wi-Fi."
public,"halka açık; kamu","Smoking is banned in public places."
pull,"çekmek","Pull the door to open it."
purpose,"amaç","What is the main purpose of your visit?"
push,"itmek","Don't push the door; pull it."
quality,"kalite","Quality is more important than quantity."
question,"soru; sorgulamak","May I ask you a personal question?"
quickly,"hızlıca","The fire spread very quickly."
quiet,"sessiz","Please be quiet in the library."
quite,"oldukça","The exam was quite difficult."
race,"yarış; ırk","Who won the 100-meter race?"
raise,"kaldırmak; artırmak; büyütmek (çocuk)","Please raise your hand if you know the answer."
range,"aralık; çeşitlilik","We offer a wide range of services."
rate,"oran; hız; derecelendirmek","The crime rate has fallen significantly."
rather,"oldukça; tercih etmek (would rather)","I would rather stay home tonight."
reach,"ulaşmak; erişmek","We hope to reach London by nightfall."
reaction,"tepki","His reaction to the surprise was funny."
read,"okumak","I like to read books in my free time."
ready,"hazır","Are you ready to go out?"
real,"gerçek","Is that a real diamond?"
reality,"gerçeklik","He lost touch with reality."
realize,"farkına varmak; gerçekleştirmek","I didn't realize how late it was."
really,"gerçekten","I really enjoyed the movie."
reason,"sebep; neden","Give me one good reason to stay."
receive,"almak; teslim almak","Did you receive the email I sent?"
recent,"yeni; son zamanlardaki","In recent years, technology has changed rapidly."
recognize,"tanımak; fark etmek","I didn't recognize you with your new haircut."
recommend,"tavsiye etmek","Can you recommend a good restaurant nearby?"
record,"kaydetmek; kayıt","He wants to record a new album."
reduce,"azaltmak; düşürmek","We need to reduce our daily expenses."
refer,"başvurmak; kastetmek","Please refer to the manual for instructions."
reflect,"yansıtmak; düşünmek","The mirror reflects the light."
refuse,"reddetmek","She refused to answer the question."
region,"bölge","This plant grows only in tropical regions."
regular,"düzenli; sıradan","Regular exercise is good for your heart."
relate,"ilişkilendirmek","It is difficult to relate these two events."
relationship,"ilişki","They have a very strong relationship."
release,"serbest bırakmak; yayınlamak","The movie will be released next month."
remain,"kalmak; sürdürmek","Please remain seated until the bus stops."
remember,"hatırlamak","Do you remember where you put the keys?"
remove,"çıkarmak; kaldırmak","Please remove your shoes before entering."
repeat,"tekrar etmek","Could you please repeat that?"
replace,"yerini almak; değiştirmek","We need to replace the old battery."
reply,"cevap vermek","He didn't reply to my message."
report,"rapor etmek; rapor","The news reported a major accident on the highway."
represent,"temsil etmek","She was chosen to represent her country."
require,"gerektirmek","This job requires a lot of patience."
research,"araştırma; araştırmak","Scientists are doing research on the virus."
resource,"kaynak","Water is a valuable natural resource."
respect,"saygı; saygı duymak","You should treat everyone with respect."
respond,"yanıt vermek; tepki vermek","He responded quickly to the emergency."
response,"yanıt; tepki","I am waiting for a response from the university."
responsibility,"sorumluluk","It is your responsibility to finish the work."
rest,"dinlenmek; geri kalan","You look tired, you should get some rest."
result,"sonuç","The result of the match was a draw."
return,"dönmek; iade etmek","I will return the book to the library tomorrow."
reveal,"açığa çıkarmak","The investigation revealed the truth."
review,"gözden geçirmek; inceleme","Let's review the notes before the exam."
rich,"zengin","He is one of the richest men in the world."
ride,"binmek (araç/at)","Can you ride a bike?"
right,"sağ; hak; doğru","You have the right to remain silent."
rise,"yükselmek; doğmak (güneş)","The sun rises in the east."
risk,"risk; riske atmak","It's not worth the risk."
road,"yol","Be careful when crossing the road."
role,"rol; görev","She plays a leading role in the movie."
room,"oda; yer (alan)","Is there enough room for everyone?"
rule,"kural; yönetmek","You must follow the school rules."
run,"koşmak; işletmek","He runs a small business in the city."
safe,"güvenli","Is it safe to swim here?"
safety,"güvenlik","Safety comes first."
same,"aynı","We have the same opinion on this topic."
save,"kurtarmak; biriktirmek; kaydetmek","He saved the child from the fire."
say,"söylemek","Did he say when he would come back?"
scene,"sahne; olay yeri","Police arrived at the crime scene immediately."
schedule,"program; planlamak","Let's schedule a meeting for next week."
school,"okul","She walks to school every morning."
science,"bilim","He is studying computer science at university."
score,"skor; puan","What is the final score of the match?"
sea,"deniz","We live near the sea."
search,"aramak; araştırma","I used the internet to search for the answer."
season,"mevsim; sezon","Winter is my favorite season."
seat,"koltuk; oturacak yer","Please take a seat."
second,"saniye; ikinci","Wait a second, I'm coming."
secret,"sır; gizli","Can you keep a secret?"
section,"bölüm; kısım","Read the next section of the book."
security,"güvenlik","Airport security is very strict."
see,"görmek","I can see the mountains from here."
seek,"aramak; peşinde koşmak","You should seek medical advice immediately."
seem,"görünmek","It seems like a good idea."
select,"seçmek","Please select an option from the menu."
sell,"satmak","They decided to sell their house."
send,"göndermek","I will send you the details by email."
senior,"kıdemli; yaşça büyük","He is a senior manager at the company."
sense,"duyu; his; mantık","Dogs have a keen sense of smell."
sentence,"cümle; hüküm (ceza)","Write a sentence using this word."
separate,"ayrı; ayırmak","They decided to live in separate houses."
series,"dizi; seri","I am watching a new TV series."
serious,"ciddi","This is a serious problem regarding safety."
serve,"hizmet etmek; servis yapmak","Dinner is served at 8 PM."
service,"hizmet; servis","The customer service here is excellent."
set,"ayarlamak; set (takım); batmak (güneş)","She set the alarm for 6 AM."
settle,"yerleşmek; halletmek","They decided to settle in Canada."
several,"birkaç","I have visited Paris several times."
severe,"şiddetli; ciddi","He suffered a severe leg injury."
shake,"sallamak; titremek","Shake the bottle well before use."
shape,"şekil; biçimlendirmek","Clouds come in all shapes and sizes."
share,"paylaşmak; hisse","She doesn't like to share her toys."
sharp,"keskin","Be careful, the knife is very sharp."
shoot,"ateş etmek; şut çekmek","Don't shoot!"
short,"kısa","Life is too short to be unhappy."
should,"-meli/-malı (tavsiye)","You should see a doctor if you feel sick."
shoulder,"omuz","He looked over his shoulder nervously."
show,"göstermek; şov","Can you show me the map?"
side,"yan; taraf","Whose side are you on?"
sight,"görüş; manzara","The Grand Canyon is a beautiful sight."
sign,"imzalamak; işaret; tabela","Please sign your name at the bottom."
signal,"sinyal; işaret vermek","The traffic signal turned red."
significance,"önem; anlam","Do you understand the significance of this event?"
significant,"önemli; kayda değer","There was a significant increase in sales."
silence,"sessizlik","Silence is sometimes the best answer."
similar,"benzer","Your shoes are very similar to mine."
simple,"basit","The solution was actually very simple."
simply,"basitçe; sadece","I simply cannot believe it."
since,"-den beri; çünkü","I haven't seen him since 2010."
sing,"şarkı söylemek","She loves to sing in the shower."
single,"tek; bekar","Not a single person laughed at the joke."
sister,"kız kardeş","My sister lives in Germany."
sit,"oturmak","Please sit down and wait for a moment."
site,"alan; site (internet/inşaat)","Hard hats must be worn on the construction site."
situation,"durum","We are in a very difficult situation."
size,"boyut; beden","Do you have this shirt in a larger size?"
skill,"beceri; yetenek","Writing is a skill that improves with practice."
skin,"deri; cilt","Too much sun can damage your skin."
sleep,"uyumak; uyku","I didn't get enough sleep last night."
slow,"yavaş","Please speak slower, I can't understand you."
small,"küçük","They live in a small apartment."
smell,"koklamak; koku","The kitchen smells like fresh bread."
smile,"gülümsemek","She greeted us with a warm smile."
smoke,"duman; sigara içmek","There is no smoke without fire."
social,"sosyal","Humans are social animals."
society,"toplum","Education is essential for a healthy society."
soft,"yumuşak","The cat has very soft fur."
soil,"toprak","The soil here is good for growing vegetables."
soldier,"asker","The soldier was awarded a medal for bravery."
solution,"çözüm","We need to find a solution quickly."
solve,"çözmek","Can you solve this math problem?"
some,"bazı; biraz","Would you like some coffee?"
son,"erkek evlat","His son plays football very well."
song,"şarkı","This is my favorite song."
soon,"yakında","See you soon!"
sort,"tür; çeşit; sınıflandırmak","What sort of music do you like?"
sound,"ses; gibi gelmek (duyulmak)","That sounds like a great idea."
source,"kaynak","The river is the main source of water for the city."
south,"güney","Birds fly south for the winter."
space,"uzay; alan; boşluk","There is no space left in the car."
speak,"konuşmak","I can speak three languages."
special,"özel","I made this cake for a special occasion."
specific,"belirli; özgül","Can you be more specific about what you want?"
speech,"konuşma; nutuk","The president gave a long speech."
speed,"hız","He was driving at a high speed."
spend,"harcamak (para/zaman)","I spend too much time on my phone."
spirit,"ruh; can","He has a very adventurous spirit."
sport,"spor","Do you play any sport?"
spot,"nokta; leke; fark etmek","It's a nice spot for a picnic."
spread,"yaymak; yayılmak","The news spread quickly through the town."
spring,"ilkbahar; yay; pınar","Flowers bloom in the spring."
staff,"personel; kadro","The hospital staff is very helpful."
stage,"sahne; aşama","The actor walked onto the stage."
stand,"ayakta durmak; katlanmak","I can't stand this noise anymore."
standard,"standart","Their safety standards are very high."
star,"yıldız","Look at the stars in the sky."
start,"başlamak; başlangıç","The movie starts at 8 PM."
state,"devlet; durum; belirtmek","Please state your full name."
statement,"ifade; açıklama","The company issued a statement about the merger."
station,"istasyon; durak","I will meet you at the train station."
stay,"kalmak","We decided to stay at home tonight."
step,"adım; adım atmak","Watch your step when you get off the bus."
stick,"yapışmak; çubuk; saplamak","The glue didn't stick properly."
still,"hala; durgun","I still haven't finished my homework."
stock,"stok; hisse senedi","We have plenty of food in stock."
stop,"durmak; durdurmak","Please stop the car immediately."
store,"dükkan; depolamak","She works in a grocery store."
story,"hikaye; öykü","Tell me a bedtime story."
strategy,"strateji","We need a new marketing strategy."
street,"sokak; cadde","The kids are playing in the street."
strength,"güç; kuvvet","He didn't have the strength to lift the box."
stress,"stres; vurgulamak","Work-related stress can affect your health."
strong,"güçlü","She is a very strong woman."
structure,"yapı","The structure of the building is very unique."
student,"öğrenci","He is a medical student."
study,"çalışmak (ders); incelemek","I need to study for my exam."
stuff,"şey(ler); eşya","Put your stuff in the locker."
style,"tarz; stil","I really like your style of dress."
subject,"konu; ders; özne","Math is my favorite subject."
success,"başarı","Hard work is the key to success."
successful,"başarılı","He is a successful businessman."
such,"böyle; gibi","I have never seen such a beautiful flower."
sudden,"ani","All of a sudden, the lights went out."
suffer,"acı çekmek; katlanmak","She suffers from frequent headaches."
suggest,"önermek","Can you suggest a good movie?"
summer,"yaz","We go to the beach every summer."
support,"desteklemek; destek","Thank you for your support."
suppose,"zannetmek; varsaymak","I suppose you are right."
sure,"emin; elbette","Are you sure you locked the door?"
surface,"yüzey","The surface of the table is very smooth."
surprise,"sürpriz; şaşırmak","The party was a big surprise for her."
surround,"çevrelemek; kuşatmak","The house is surrounded by trees."
survive,"hayatta kalmak","Only a few passengers survived the crash."
system,"sistem","The education system needs reform."
table,"masa; tablo (çizelge)","Dinner is on the table."
take,"almak; götürmek","Please take this medicine twice a day."
talk,"konuşmak","We need to talk about the future."
target,"hedef","We met our sales target for this month."
task,"görev; iş","This is a very difficult task."
taste,"tat; tatmak","This soup tastes delicious."
tax,"vergi","The government increased the income tax."
teach,"öğretmek","My mother taught me how to cook."
teacher,"öğretmen","She is an English teacher."
team,"takım; ekip","We work well as a team."
tear,"gözyaşı; yırtmak","A tear ran down her cheek."
technical,"teknik","We are experiencing some technical difficulties."
technology,"teknoloji","Modern technology has changed our lives."
tell,"anlatmak; söylemek","Tell me the truth."
temperature,"sıcaklık; derece","The temperature dropped to zero last night."
